"HITId";"HITTypeId";"Title";"Description";"Keywords";"Reward";"CreationTime";"MaxAssignments";"RequesterAnnotation";"AssignmentDurationInSeconds";"AutoApprovalDelayInSeconds";"Expiration";"NumberOfSimilarHITs";"LifetimeInSeconds";"AssignmentId";"WorkerId";"AssignmentStatus";"AcceptTime";"SubmitTime";"AutoApprovalTime";"ApprovalTime";"RejectionTime";"RequesterFeedback";"WorkTimeInSeconds";"LifetimeApprovalRate";"Last30DaysApprovalRate";"Last7DaysApprovalRate";"Input.image";"Answer.blurry";"Answer.quality";"Approve";"Reject"
"2RIRYNJ92NJK1NB8ZKKUMYW20076BF";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"18";;"20QN5F3Q0JG58LSKPXPB99F9L5VGC0";"A1X55V63BZ8MKL";"Approved";"Sat Apr 30 15:20:14 GMT 2011";"Sat Apr 30 15:20:22 GMT 2011";"Sat May 07 15:20:22 GMT 2011";"Sat Apr 30 19:55:02 PDT 2011";;;"8";"100% (55/55)";"100% (55/55)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0081.jpg";0;"1";;
"2RIRYNJ92NJK1NB8ZKKUMYW20076BF";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"18";;"224GW40SPW1I29NDBRVJ8NABZOI0DH";"A12KRSSY1NV0CE";"Approved";"Sat Apr 30 15:21:54 GMT 2011";"Sat Apr 30 15:22:08 GMT 2011";"Sat May 07 15:22:08 GMT 2011";"Sat Apr 30 19:55:02 PDT 2011";;;"14";"100% (15/15)";"100% (15/15)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0081.jpg";2;"2";;
"2RIRYNJ92NJK1NB8ZKKUMYW20076BF";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"18";;"26TINMHGYQ4JIAG8JC6MKFOYRVV8LR";"A3RT4FZY26AA1D";"Approved";"Sat Apr 30 15:16:55 GMT 2011";"Sat Apr 30 15:17:14 GMT 2011";"Sat May 07 15:17:14 GMT 2011";"Sat Apr 30 19:55:02 PDT 2011";;;"19";"100% (10/10)";"100% (10/10)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0081.jpg";2;"2";;
"2RIRYNJ92NJK1NB8ZKKUMYW20076BF";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"18";;"2W6ZZ2MIKMN99VV6B4ZT1WXIW5X8PQ";"A3ARNAZVTW1DQU";"Approved";"Sat Apr 30 15:21:52 GMT 2011";"Sat Apr 30 15:22:10 GMT 2011";"Sat May 07 08:22:10 PDT 2011";"Sat Apr 30 19:55:02 PDT 2011";;;"18";"100% (20/20)";"100% (20/20)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0081.jpg";2;"2";;
"2RIRYNJ92NJK1NB8ZKKUMYW20076BF";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"18";;"2WGFXRDS4IC1TLJKAK6M61A2B80YVE";"AVEEXNWYXBSGM";"Approved";"Sat Apr 30 15:15:36 GMT 2011";"Sat Apr 30 15:15:43 GMT 2011";"Sat May 07 15:15:43 GMT 2011";"Sat Apr 30 19:55:02 PDT 2011";;;"7";"100% (61/61)";"100% (61/61)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0081.jpg";2;"2";;
"248YN5F3Q0JGKG4J0DNYG49FTZABFN";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"38";;"2CXL8I9NZW6HTMCLR5HWCT862TXVLK";"AVEEXNWYXBSGM";"Approved";"Sat Apr 30 15:20:01 GMT 2011";"Sat Apr 30 15:20:07 GMT 2011";"Sat May 07 08:20:07 PDT 2011";"Sat Apr 30 19:55:03 PDT 2011";;;"6";"100% (61/61)";"100% (61/61)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0082.jpg";2;"2";;
"248YN5F3Q0JGKG4J0DNYG49FTZABFN";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"38";;"2PKVGULF395SBTTDEGJ3SYNJ4BHPB5";"A1X55V63BZ8MKL";"Approved";"Sat Apr 30 15:20:22 GMT 2011";"Sat Apr 30 15:20:29 GMT 2011";"Sat May 07 08:20:29 PDT 2011";"Sat Apr 30 19:55:03 PDT 2011";;;"7";"100% (55/55)";"100% (55/55)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0082.jpg";2;"2";;
"248YN5F3Q0JGKG4J0DNYG49FTZABFN";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"38";;"2U1RJ85OZIZEW9G72NFOV5EWIANX9R";"AAIP6WVHAJANT";"Approved";"Sat Apr 30 15:18:42 GMT 2011";"Sat Apr 30 15:19:27 GMT 2011";"Sat May 07 15:19:27 GMT 2011";"Sat Apr 30 19:55:03 PDT 2011";;;"45";"100% (2/2)";"100% (2/2)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0082.jpg";2;"1";;
"248YN5F3Q0JGKG4J0DNYG49FTZABFN";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"38";;"2VSXULRGNTBJI9SAA66PCN62DUDS63";"A3GR63KAHHUXKX";"Approved";"Sat Apr 30 15:18:34 GMT 2011";"Sat Apr 30 15:19:05 GMT 2011";"Sat May 07 15:19:05 GMT 2011";"Sat Apr 30 19:55:03 PDT 2011";;;"31";"100% (28/28)";"100% (28/28)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0082.jpg";2;"0";;
"248YN5F3Q0JGKG4J0DNYG49FTZABFN";"2GDPFE4EGDHD1PBILJ0N4W6HEGX9JY";"Is this image blurry?";"Two yes or no questions: Is it blurry? Is it high quality?";"image photograph quality assessment blur blurry computer vision";"$0.02";"Sat Apr 30 15:12:39 GMT 2011";"5";;"3600";"604800";"Sat May 07 15:12:39 GMT 2011";"38";;"2WYIAA2SEIUU9N6L3LBA9IIS154OOR";"A3ARNAZVTW1DQU";"Approved";"Sat Apr 30 15:17:53 GMT 2011";"Sat Apr 30 15:18:05 GMT 2011";"Sat May 07 15:18:05 GMT 2011";"Sat Apr 30 19:55:03 PDT 2011";;;"12";"100% (20/20)";"100% (20/20)";"0% (0/0)";"http://www.artoonie.com/projects/imagesorter/data_zoo/DSC_0082.jpg";2;"2";;
